Date,Open,High,Low,Close,Adj Close,Volume,SMAAC_7,SMAAC_12,SMAAC_21,SMAAC_26,SMAAC_50,SMAAC_100,SMAAC_200,EMAAC_7,EMAAC_12,EMAAC_21,EMAAC_26,EMAAC_50,EMAAC_100,EMAAC_200,MACD,TR,SMATR_14,SATR_14,DX,SADX_14,PSAR,CT,CHAC,RS,RSI,SO_5,SO_14,WR_5,WR_14,ROCAC_1,ROCAC_7,ROCAC_12,ROCAC_14,ROCAC_21,ROCAC_26,ROCAC_50,ROCAC_100,ROCAC_200,MOM_1,MOM_7,MOM_12,MOM_14,MOM_21,MOM_26,MOM_50,MOM_100,MOM_200,VARAC_14,STDEVAC_14,LBB_20,UBB_20,VI_14,CV_12,OBV,COBV,ACCDIST,CMF
38988,905.01001,908.23999,903.710022,906.900024,906.900024,281183400,897.7743007,893.1750082,888.4109556,887.6361554,875.8904004,853.7977014,858.5144995,898.5047172,894.5486825,889.6457661,887.1885641,877.3107886,866.1994512,858.5144995,6.328170247,4.529968,8.880009071,8.479515178,26.38882646,16.41037146,885.9579269,0,-1.690002,-0.356236295,-55.33649882,0.939830945,0.968299849,0.060169055,0.060169055,0.001866972,0.025591735,0.027101774,0.037738056,0.022227768,0.031412058,0.095197286,0.028977988,0.125004675,1.690002,22.630004,23.930053,32.980041,19.720031,27.619995,27.619995,25.540039,100.770019,85.0158481,9.220403901,869.1954316,907.7495758,0.024874484,0.000206325,11920937400,0.02415716,1.46535E+13,52065.72686
38989,907.859985,912.380005,906.609985,907.080017,907.080017,219436600,899.445731,894.9558411,889.3585758,888.7053857,877.4706006,854.0549017,859.0192496,900.6485422,896.4765801,891.230698,888.6620051,878.4782093,867.0089674,858.9977385,9.229361489,5.77002,8.724295357,8.496999477,31.72620713,17.50435972,889.523057,0,-0.179993,-0.309473322,-44.81699718,0.796935139,0.878579955,0.203064861,0.203064861,0.000198471,0.013067091,0.02412753,0.040730626,0.019374258,0.031065663,0.074535688,0.046240473,0.124628074,0.179993,11.700012,21.369995,35.5,17.23999,27.330017,27.330017,40.090027,100.520019,70.60580112,8.402725815,868.4178299,910.2511765,0.024408195,0.000209371,12140374000,0.018407663,1.47227E+13,52584.63266
38992,909.869995,910.780029,903.77002,906.469971,906.469971,250692300,900.6871513,896.767507,890.1504779,889.7330769,878.7168006,854.4497015,859.5187994,902.1038994,898.0140249,892.6160865,889.9811137,879.5759255,867.7903734,859.470099,10.00426586,7.010009,8.150006786,8.472214285,25.02904068,18.04183693,893.6373076,0,0.610046,-0.412794777,-70.29821277,0.674199057,0.812141454,0.325800943,0.325800943,-0.000672538,0.009679367,0.024572459,0.026614722,0.015220372,0.024051581,0.071236919,0.044151813,0.113230192,-0.610046,8.689942,21.739991,23.5,13.589966,21.289978,21.289978,38.329956,92.199951,72.08762192,8.490442975,867.8358347,912.1921683,0.022185706,0.00020441,11889681700,-0.020649471,1.47878E+13,52486.87475
38993,903.539978,904.349976,899.030029,903.109985,903.109985,244619900,902.772862,897.9400076,890.6376198,890.422692,879.8552002,854.7994012,859.9629993,902.3554208,898.7980187,893.5700772,890.9536226,880.4988298,868.4897716,859.9043267,10.09474805,7.439942,8.332148786,8.462209606,14.56012732,17.79314339,897.0109932,0,3.359986,-0.533263158,-114.2534958,0.305615231,0.705339685,0.694384769,0.694384769,-0.003706671,0.016431976,0.015826068,0.019645214,0.016340447,0.018116441,0.0629325,0.07406963,0.108681733,-3.359986,14.599975,14.070007,17.399963,14.519958,16.070007,16.070007,62.279968,88.529968,68.78340117,8.293575898,867.85642,913.6235788,0.022773725,0.00020056,11645061800,-0.020574134,1.48711E+13,51984.99161
38994,903,909.690002,902.880005,908.690002,908.690002,343593100,905.5142909,899.5033417,891.5947614,891.2553852,881.0362,855.4780011,860.4335492,903.9390661,900.3198623,894.9446159,892.2674285,881.6043659,869.2858158,860.3897563,10.81299925,6.809997,8.212859929,8.444398915,22.43933864,18.12501448,899.030029,0,-5.580017,-0.440970689,-78.88149685,0.723594784,0.882708188,0.276405216,0.276405216,0.006178668,0.02157392,0.02108032,0.027081734,0.033001421,0.020243448,0.057390888,0.08423913,0.114546811,5.580017,19.190002,18.760009,23.960022,29.030029,18.030029,18.030029,70.599975,93.390014,67.04992145,8.188401642,868.6305606,915.7524411,0.023051902,0.000202309,11988654900,0.029505477,1.49631E+13,51195.75502
38995,914.960022,915.659973,912.52002,913.669983,913.669983,287539100,907.3042863,901.9533386,893.2142857,892.1403856,882.1221997,856.2338007,860.9253992,906.3717953,902.373727,896.646922,893.8528029,882.8618411,870.1647102,860.9199079,11.23136616,6.969971,8.162854714,8.424288615,30.19023396,18.98681587,899.030029,0,-4.979981,-0.434183584,-76.73577005,0.880336939,0.9427176,0.119663061,0.119663061,0.005480396,0.013904574,0.033247721,0.027704047,0.047894864,0.029858642,0.057451654,0.084539106,0.117707468,4.979981,12.529968,29.399963,24.630005,41.76001,26.48999,26.48999,71.219971,96.219971,75.5057172,8.68940258,870.8770253,917.6819774,0.023136679,0.000207053,12276194000,0.023984267,1.51308E+13,51268.99816
38996,914.5,914.549988,909.590027,913.049988,913.049988,244291300,908.4242814,903.4258372,895.173334,893.1353854,883.1025989,856.9398004,861.4033991,908.0413435,904.0162287,898.1381098,895.2748166,884.04569,871.0139236,861.4386151,11.5289866,4.959961,8.107138357,8.401635025,23.65871571,19.320523,902.3560178,0,0.619995,-0.457786412,-84.42916618,0.843055094,0.924870876,0.156944906,0.156944906,-0.000678577,0.008660936,0.019734619,0.025979566,0.044775272,0.026083296,0.060871908,0.114549338,0.11961985,-0.619995,7.839966,17.669983,23.119995,39.130005,23.209961,23.209961,93.839966,97.549988,78.25647606,8.846269047,873.4340599,919.0379433,0.023261991,0.000217593,12031902700,-0.019899596,1.52209E+13,51738.51697
38999,909.690002,914.26001,909.640015,914.080017,914.080017,209105500,909.4499947,904.7841695,897.0857166,894.0676927,884.1709998,857.8885004,861.8962991,909.5510119,905.5645038,899.5873741,896.6677944,885.2235068,871.8667175,861.9624102,12.8413198,4.619995,7.761422143,8.355905533,23.65871571,19.63039391,905.0168088,0,-1.030029,-0.317381093,-46.49462393,0.904993306,0.951874562,0.095006694,0.095006694,0.001128119,0.007917072,0.018155882,0.033711419,0.048762017,0.023743405,0.072108894,0.088514459,0.116952018,1.030029,7.179993,16.299988,29.809997,42.5,21.200012,21.200012,74.330017,95.710022,63.894503,7.993403718,877.290541,919.4314622,0.0216829,0.000244185,12241008200,0.017379255,1.53039E+13,52244.72747
39000,915.909973,919.380005,915.22998,918.940002,918.940002,265861000,911.1442783,907.3200022,899.340954,895.0700003,885.4978003,858.6804004,862.3991492,911.8982594,907.6222728,901.3467039,898.3175876,886.5457223,872.7988618,862.5293514,12.71364674,5.299988,7.149278786,8.269717909,30.70426067,20.42138439,907.1454417,0,-4.859985,-0.370390969,-58.82872566,0.973333152,0.986830214,0.026666848,0.026666848,0.005316805,0.013074905,0.034248339,0.026312847,0.040737547,0.034155206,0.063206493,0.105398636,0.134003862,4.859985,11.859985,30.429992,23.559997,35.970031,30.349975,30.349975,87.619995,108.590026,73.00356294,8.544212248,878.51815,921.8008563,0.019305705,0.000289075,12506869200,0.021718881,1.54219E+13,52350.42544
39001,916.650024,919.280029,913.080017,919.27002,919.27002,253873200,912.9728567,909.8008372,901.0695278,896.25,886.5970007,859.5599005,862.9437494,913.7411995,909.4142339,902.9760963,899.8696196,887.829028,873.7190827,863.0939351,12.39243444,6.200012,7.095707357,8.185860012,25.46784979,20.78184621,909.5923543,0,-0.330018,-0.392080099,-64.49535507,0.988765552,0.996708025,0.011234448,0.011234448,0.000359129,0.014120765,0.033468263,0.023936811,0.037890503,0.045028816,0.072785616,0.090914544,0.125687293,0.330018,12.800049,29.77002,21.489991,33.559998,39.610047,39.610047,76.610047,102.640015,80.56349672,8.975717059,879.7384013,923.9366048,0.019336229,0.000324159,12760742400,0.020298701,1.54974E+13,53021.76553
39002,919.599976,925.960022,919.299988,925.47998,925.47998,286205200,916.1685703,911.8291676,902.9633353,898.012308,887.9685999,860.3881006,863.4879993,916.6758947,911.8858871,905.0219039,901.7666834,889.305536,874.744051,863.7146918,14.13060205,6.690002,6.729989071,8.081869231,34.2780203,21.74585864,911.5498845,0,-6.20996,-0.110443391,-12.41555511,0.970675495,0.987902165,0.029324505,0.029324505,0.006755317,0.024769956,0.027010192,0.041608952,0.046059251,0.061439837,0.067094056,0.078534828,0.127685213,6.20996,22.369995,24.339965,36.96997,40.75,53.570007,53.570007,67.389953,104.789978,74.46152357,8.629109083,880.9615889,926.7884172,0.015256154,0.000369025,13046947600,0.02242857,1.55773E+13,53030.46641
39003,926.969971,927.070007,922.849976,924.840027,924.840027,235198700,918.4757167,913.4650013,904.8733375,900.0480793,889.1196008,861.0556006,864.0087494,918.7169277,913.8788317,906.8235514,903.4758199,890.6990454,875.7360505,864.3229041,15.55298189,4.220031,6.412850357,7.962653597,35.63942229,22.73825605,913.080017,0,0.639953,-0.128912475,-14.79902661,0.872060756,0.932074967,0.127939244,0.127939244,-0.000691482,0.017772865,0.021685581,0.039730216,0.040268211,0.058266254,0.080067263,0.081545115,0.114466535,-0.639953,16.150025,19.630005,35.340027,35.800049,50.920044,50.920044,69.730042,94.990051,56.47422497,7.514933464,882.0832548,929.2467562,0.015565013,0.00038526,12811748900,-0.018027105,1.56806E+13,53571.30267
39006,925.580017,926.450012,923.039978,926.130005,926.130005,221216200,920.2557199,915.0674998,906.6395293,902.056157,890.5166004,861.7658008,864.4901495,920.5701971,915.7636276,908.5786836,905.1539077,892.0884948,876.7339506,864.9379001,15.19765783,3.410034,5.745709929,7.804300478,35.63942229,23.65976792,915.878015,0,-1.289978,-0.173063706,-20.92829969,0.932808958,0.966476365,0.067191042,0.067191042,0.001394812,0.013637333,0.02120408,0.027731528,0.04067737,0.06258747,0.080488589,0.110667424,0.117650594,1.289978,12.460022,19.229981,24.98999,36.200012,54.549988,54.549988,92.280029,97.48999,59.14282236,7.690437072,883.4491934,931.5008188,0.011408957,0.000396258,13032965100,0.017266667,1.5801E+13,55766.59348
39007,924.219971,924.539978,915.25,915.669983,915.669983,301865700,920.6300049,915.7833303,907.8652431,903.751925,891.6871997,862.5840009,864.9252994,919.3451435,915.7492208,909.2233472,905.9328762,893.0132591,877.5049612,865.442697,13.6298922,10.880005,6.0578525,7.679554194,16.06976043,23.11762453,927.070007,1,10.460022,-0.600000925,-150.0005784,0.185129939,0.593436771,0.814870061,0.814870061,-0.011294334,0.002869498,0.00946991,0.011555286,0.035509474,0.037034116,0.059472112,0.086706779,0.098795154,-10.460022,2.619995,8.589966,10.459961,31.399963,32.700012,32.700012,73.059998,82.329956,53.59370754,7.320772332,887.2937433,930.7962652,0.016819402,0.00038907,12731099400,-0.023161706,1.58608E+13,55025.57324
