Date,Open,High,Low,Close,Adj Close,Volume,SMAAC_7,SMAAC_12,SMAAC_21,SMAAC_26,SMAAC_50,SMAAC_100,SMAAC_200,EMAAC_7,EMAAC_12,EMAAC_21,EMAAC_26,EMAAC_50,EMAAC_100,EMAAC_200,MACD,TR,SMATR_14,SATR_14,DX,SADX_14,PSAR,CT,CHAC,RS,RSI,SO_5,SO_14,WR_5,WR_14,ROCAC_1,ROCAC_7,ROCAC_12,ROCAC_14,ROCAC_21,ROCAC_26,ROCAC_50,ROCAC_100,ROCAC_200,MOM_1,MOM_7,MOM_12,MOM_14,MOM_21,MOM_26,MOM_50,MOM_100,MOM_200,VARAC_14,STDEVAC_14,LBB_20,UBB_20,VI_14,CV_12,OBV,COBV,ACCDIST,CMF
42453,7.84,7.95,7.73,7.73,7.73,10400,7.742857143,7.753333333,7.818333333,7.771730769,7.4272,7.6106,7.7441125,7.769429779,7.764844483,7.725259694,7.697829155,7.618698989,7.626838502,7.7441125,-0.0608203,0.22,0.222857143,0.223938534,5.357599776,12.58131571,7.5094,0,0.11,-1.37037037,370,0.489361702,0.479166667,0.510638298,0.510638298,-0.014030612,-0.00129199,-0.020278834,-0.025220681,-0.015286624,0.030666667,0.090267983,-0.03375,0.010457516,-0.11,-0.01,-0.16,-0.2,-0.12,0.23,0.23,-0.27,0.08,0.010139286,0.10069402,7.57537322,8.05812678,0.058466414,0.000671458,2516100,-0.004116367,570559855.3,8490.369202
42457,7.74,7.85,7.63,7.63,7.63,8100,7.725714286,7.7425,7.807857143,7.776730769,7.438,7.6069,7.7440125,7.734572334,7.744099178,7.716599721,7.692804773,7.619142166,7.626901106,7.742977052,-0.090667843,0.22,0.228571429,0.224269455,2.781113331,11.88130125,7.518612,0,0.1,-1.537037037,286.2068966,0.276595745,0.270833333,0.723404255,0.723404255,-0.012936611,-0.015483871,-0.016752577,-0.036616162,-0.020539153,0.032476319,0.053867403,-0.03539823,0.031081081,-0.1,-0.12,-0.13,-0.29,-0.16,0.24,0.24,-0.28,0.23,0.009710204,0.098540368,7.554115458,8.063384542,0.059443149,0.000546233,2508000,-0.003219268,571129800.8,8865.402742
42458,7.69,7.9,7.69,7.9,7.9,13500,7.761428571,7.761666667,7.813095238,7.796346154,7.4512,7.6068,7.7465125,7.775929251,7.76808392,7.733272474,7.708152568,7.630156199,7.632309005,7.74453947,-0.091708877,0.27,0.23,0.22467878,1.323373376,11.12716354,7.52763976,0,-0.27,-0.987654321,-8000,0.794117647,0.833333333,0.205882353,0.205882353,0.035386632,0.032679739,0.029986962,0.001267427,0.012820513,0.028645833,0.14658926,0.001267427,0.060402685,0.27,0.25,0.23,0.01,0.1,0.22,0.22,0.01,0.45,0.009910714,0.09955257,7.556089856,8.071410144,0.069481374,0.000522239,2521500,0.005382775,572159015.1,9002.936591
42459,7.8,7.95,7.8,7.95,7.95,9600,7.802857143,7.7675,7.820238095,7.806730769,7.4724,7.6074,7.7490125,7.819446938,7.796071009,7.752974976,7.726067192,7.642699093,7.638599915,7.746583853,-0.067661722,0.15,0.224285714,0.224650704,5.392092015,10.71751558,7.536486965,0,-0.05,-0.779069767,-352.6315789,1,0.9375,0,0,0.006329114,0.037859008,0.008883249,0.024484536,0.010807374,0.031128405,0.14801444,0.028460543,0.071428571,0.05,0.29,0.07,0.19,0.085,0.24,0.24,0.22,0.53,0.012440816,0.111538407,7.554363887,8.081636113,0.067451966,0.00045827,2531100,0.003807258,573186215.1,9152.40765
42460,7.6,7.7,7.58,7.58,7.58,6800,7.795714286,7.75,7.806666667,7.801730769,7.4855,7.6059,7.7498125,7.759585204,7.762829315,7.737249979,7.7152474,7.640240305,7.637439521,7.744926302,-0.059446297,0.37,0.231428571,0.225134837,11.83383738,10.79725285,7.545157226,0,0.37,-1.104651163,1055.555556,0,0.166666667,1,1,-0.046540881,-0.00655308,-0.026957638,-0.011734029,-0.058385093,-0.002631579,0.1179941,-0.003942181,0.003309067,-0.37,-0.05,-0.21,-0.09,-0.47,-0.02,-0.02,-0.03,0.025,0.014245408,0.119354129,7.534002399,8.054997601,0.081956556,0.000342058,2524300,-0.002686579,574052081.7,9737.383982
42461,7.202,7.34,7.19,7.3,7.3,17500,7.704285714,7.713333333,7.770952381,7.790192308,7.4959,7.6028,7.7485375,7.644688903,7.691624805,7.697499981,7.684488334,7.626897548,7.63075755,7.740499175,-0.106406333,0.39,0.237142857,0.225992553,32.80189764,12.36901319,7.97,1,0.28,-1.892307692,212.0689655,0.144736842,0.141025641,0.855263158,0.855263158,-0.036939314,-0.080604534,-0.056847545,-0.073604061,-0.093167702,-0.070063694,0.101886792,-0.049479167,-0.026666667,-0.28,-0.64,-0.44,-0.58,-0.75,-0.55,-0.55,-0.38,-0.2,0.026792347,0.16368368,7.443816348,8.070183652,0.083644435,0.000185833,2506800,-0.006932615,575772915.1,9730.544009
42464,7.27,7.35,7.27,7.35,7.35,2800,7.634285714,7.68,7.737619048,7.770961538,7.5104,7.5995,7.7477875,7.571016677,7.639067143,7.665909073,7.65971142,7.616038821,7.625197995,7.736613611,-0.131045606,0.08,0.225714286,0.225972677,31.93545878,13.76661645,7.9544,1,-0.05,-1.628571429,259.0909091,0.210526316,0.205128205,0.789473684,0.789473684,0.006849315,-0.0625,-0.051612903,-0.05648267,-0.073139975,-0.05648267,0.057553957,-0.05648267,-0.032894737,0.05,-0.49,-0.4,-0.44,-0.58,-0.44,-0.44,-0.44,-0.25,0.035278061,0.187824549,7.378909754,8.077090246,0.084184868,5.20E-05,2509600,0.001116962,576290215.1,9855.481954
42465,7.34,7.34,7.13,7.24,7.24,16000,7.564285714,7.645833333,7.704761905,7.749807692,7.5162,7.594,7.7459875,7.488262508,7.577672198,7.627190067,7.628621685,7.6012922,7.617570312,7.731672182,-0.154326567,0.22,0.230714286,0.226311363,38.03110963,15.49979453,7.939112,1,0.11,-1.714285714,240,0.134146341,0.130952381,0.865853659,0.865853659,-0.014965986,-0.063389392,-0.053594771,-0.064599483,-0.085858586,-0.071794872,0.049275362,-0.083544304,-0.062783172,-0.11,-0.49,-0.41,-0.5,-0.68,-0.56,-0.56,-0.66,-0.485,0.048237245,0.219629791,7.297142343,8.090857657,0.084828739,-0.000118903,2493600,-0.006375518,577409453.2,9869.704338
42466,7.16,7.35,7.16,7.2,7.2,11100,7.502857143,7.6075,7.67047619,7.726730769,7.5222,7.587,7.7433625,7.416196881,7.519568783,7.588354606,7.596871931,7.585555251,7.609301593,7.726381911,-0.18100736,0.19,0.23,0.226574837,37.08672003,17.04171778,7.90674752,1,0.04,-1.797101449,225.4545455,0.122807018,0.083333333,0.877192982,0.877192982,-0.005524862,-0.056356488,-0.060052219,-0.070967742,-0.087452471,-0.084551812,0.037463977,-0.094339623,-0.076923077,-0.04,-0.43,-0.46,-0.55,-0.69,-0.665,-0.665,-0.75,-0.6,0.06072449,0.246423395,7.21920578,8.09979422,0.084595725,-0.000269073,2482500,-0.004451396,578261816.3,9937.318111
42467,7.32,7.4,7.24,7.35,7.35,8200,7.424285714,7.584166667,7.644761905,7.706923077,7.5304,7.581,7.7411125,7.399647661,7.493481278,7.566686005,7.578585121,7.57631779,7.604166908,7.722636818,-0.179620432,0.2,0.230714286,0.226870512,32.21578636,18.12557982,7.875677619,1,-0.15,-1.357142857,380,0.814814815,0.261904762,0.185185185,0.185185185,0.020833333,-0.069620253,-0.036697248,-0.039215686,-0.052835052,-0.086956522,0.044034091,-0.07079646,-0.066666667,0.15,-0.55,-0.28,-0.3,-0.41,-0.7,-0.7,-0.56,-0.525,0.065163265,0.255270964,7.181489344,8.096510656,0.087667886,-0.000341771,2490700,0.003303122,579023391.3,10061.27297
42468,7.47,7.6,7.47,7.59,7.59,8600,7.372857143,7.555,7.636666667,7.689230769,7.5414,7.5778,7.7396875,7.447235745,7.508330312,7.568805459,7.579430668,7.576854348,7.603886375,7.721317049,-0.163666339,0.25,0.233571429,0.227349149,14.66514719,17.87840606,7.845850514,1,-0.24,-1.065420561,1628.571429,0.978723404,0.547619048,0.021276596,0.021276596,0.032653061,-0.045283019,-0.044080605,-0.009138381,-0.010430248,-0.057142857,0.098408104,-0.009138381,-0.054205607,0.24,-0.36,-0.35,-0.07,-0.08,-0.46,-0.46,-0.07,-0.435,0.064816837,0.25459151,7.177244607,8.092755393,0.093939699,-0.000353496,2499300,0.003452845,580036206.7,10187.12606
42471,7.47,7.47,7.27,7.46,7.46,4600,7.355714286,7.523333333,7.626666667,7.666538462,7.5524,7.5758,7.7368625,7.450426809,7.500894879,7.558914054,7.570583951,7.572271824,7.60103714,7.718716879,-0.155113516,0.32,0.237857143,0.22809972,25.33828829,18.41125479,7.817216494,1,0.13,-1.158878505,729.4117647,0.70212766,0.392857143,0.29787234,0.29787234,-0.0171278,-0.015831135,-0.048469388,-0.022280472,-0.053299492,-0.0592686,0.06116643,-0.042362003,-0.101204819,-0.13,-0.12,-0.38,-0.17,-0.42,-0.47,-0.47,-0.33,-0.84,0.065710204,0.256340017,7.164671612,8.063328388,0.095275859,-0.000383297,2494700,-0.001840515,580383966.7,10392.02601
42472,7.34,7.52,7.34,7.465,7.465,5500,7.379285714,7.50125,7.606904762,7.648653846,7.5611,7.57255,7.7326875,7.454070107,7.49537259,7.550376413,7.562762918,7.568065086,7.598343335,7.716192333,-0.19590417,0.18,0.226428571,0.227980352,21.25518089,18.61439237,7.789727834,1,-0.005,-1.620915033,261.0526316,0.693181818,0.408536585,0.306818182,0.306818182,0.000670241,0.02260274,-0.034282018,-0.059823678,-0.041720154,-0.057449495,0.002013423,-0.045396419,-0.065122104,0.005,0.165,-0.265,-0.475,-0.325,-0.455,-0.455,-0.355,-0.52,0.05595574,0.236549656,7.151560858,8.043939142,0.085184065,-0.000382816,2500200,0.002204674,580845661.1,10552.80097
42473,7.61,7.69,7.61,7.69,7.69,22300,7.427857143,7.50625,7.602142857,7.639807692,7.5659,7.57125,7.7312125,7.51305258,7.525315269,7.563069466,7.572187887,7.572846847,7.600158318,7.715931713,-0.198991956,0.225,0.234642857,0.228456245,8.333117023,17.88001556,7.763338721,1,-0.225,-1.151515152,760,1,0.682926829,0,0,0.030140656,0.046258503,0.007863696,-0.019132653,-0.006459948,-0.025348542,0.043419267,-0.014102564,-0.062195122,0.225,0.34,0.06,-0.15,-0.05,-0.2,-0.2,-0.11,-0.51,0.051057781,0.225959688,7.151724634,8.038775366,0.090678855,-0.000320757,2522500,0.008919286,585155136.1,10540.26843
42474,7.83,7.84,7.76,7.76,7.76,9300,7.502142857,7.494583333,7.603095238,7.634807692,7.5737,7.57085,7.7290125,7.574789435,7.561420612,7.580972242,7.586099895,7.580186187,7.6033235,7.716370203,-0.178744587,0.15,0.229642857,0.228541003,1.628459449,16.71919013,7.13,0,-0.07,-0.971698113,-3433.333333,0.859649123,0.768292683,0.140350877,0.140350877,0.009102731,0.071823204,-0.017721519,0.003880983,0.001290323,0,0.074792244,-0.026348808,-0.02205419,0.07,0.52,-0.14,0.03,0.01,0,0,-0.21,-0.175,0.051970026,0.227969352,7.151505979,8.039994021,0.090170366,-0.000294541,2531800,0.003686819,586968636.1,10678.32461
42475,7.72,7.76,7.62,7.635,7.635,4700,7.564285714,7.468333333,7.597619048,7.63,7.582,7.5675,7.7275125,7.589842076,7.572740518,7.585883856,7.589722125,7.582335748,7.603950758,7.715560549,-0.154377052,0.14,0.223928571,0.228211544,6.969830866,16.02280732,7.1442,0,0.125,-0.995283019,-21100,0.640350877,0.615853659,0.359649123,0.359649123,-0.016108247,0.060416667,-0.039622642,0.000655308,-0.001960784,-0.004563233,0.018,-0.045625,-0.060307692,-0.125,0.435,-0.315,0.005,-0.015,-0.035,-0.035,-0.365,-0.49,0.052040816,0.228124563,7.151074331,8.038925669,0.090696786,-0.00027984,2527100,-0.001856387,587485971.9,10805.96006
42478,7.54,7.57,7.4,7.49,7.49,7900,7.584285714,7.460833333,7.59,7.623076923,7.5818,7.5624,7.7243375,7.564881557,7.560011207,7.577167142,7.582335301,7.578714738,7.601694307,7.713316166,-0.185748618,0.235,0.221428571,0.227727046,18.62144432,16.20842425,7.158116,0,0.145,-1.518987342,292.6829268,0.3,0.43902439,0.7,0.7,-0.018991487,0.019047619,-0.011873351,-0.051898734,-0.022193211,-0.049492386,0.030261348,-0.077586207,-0.098676294,-0.145,0.14,-0.09,-0.41,-0.17,-0.39,-0.39,-0.63,-0.82,0.041728061,0.204274475,7.141369682,8.031630318,0.084743235,-0.000286443,2519200,-0.003126113,588190001.3,10960.78459
42479,7.63,7.85,7.63,7.81,7.81,3400,7.615714286,7.503333333,7.597142857,7.620384615,7.5926,7.5593,7.7218375,7.626161168,7.598471022,7.598333766,7.599199353,7.587784748,7.605819172,7.714278194,-0.196871656,0.36,0.236428571,0.228348583,1.241756777,15.13937657,7.17175368,0,-0.32,-1.132075472,857.1428571,0.911111111,0.944444444,0.088888889,0.088888889,0.042723632,0.028985507,0.069863014,-0.017610063,0.023591088,0.002567394,0.110163468,-0.03461063,-0.082795068,0.32,0.22,0.51,-0.14,0.18,0.02,0.02,-0.28,-0.705,0.034113776,0.184699149,7.14005626,8.05094374,0.095248109,-0.000230665,2522600,0.001349635,588434801.3,11214.28023
42480,7.97,8.05,7.97,8,8,19300,7.692857143,7.5575,7.614761905,7.628461538,7.6119,7.5584,7.7192625,7.719620876,7.660244711,7.634848878,7.62888829,7.603950052,7.613624733,7.717121197,-0.133941025,0.24,0.227142857,0.22826246,9.012774767,14.70176216,7.198883533,0,-0.19,-0.664,-197.6190476,0.923076923,0.945652174,0.076923077,0.076923077,0.024327785,0.072386059,0.088435374,0.055408971,0.007556675,0.033591731,0.142041399,0.002506266,-0.039039039,0.19,0.54,0.65,0.42,0.06,0.26,0.26,0.02,-0.325,0.050956633,0.225735758,7.133332288,8.063667712,0.084814027,-0.000126267,2541900,0.007650836,592314101.3,11174.29103
42481,8.14,8.14,7.98,8,8,5900,7.769285714,7.620833333,7.617619048,7.638461538,7.6318,7.5586,7.7176375,7.789715657,7.712514755,7.668044434,7.656378046,7.619481423,7.621275729,7.719935911,-0.035246759,0.16,0.210714286,0.227009019,13.26996327,14.59949081,7.249950521,0,0,-0.44,-78.57142857,0.810810811,0.861386139,0.189189189,0.189189189,0,0.071667783,0.104972376,0.095890411,0.020408163,0.032258065,0.151079137,0.01010101,-0.030890369,0,0.535,0.76,0.7,0.16,0.25,0.25,0.08,-0.255,0.061028061,0.247038582,7.11998073,8.09301927,0.073386462,-3.95E-05,2541900,0,592910001.3,42499.60873
