Date,Open,High,Low,Close,Adj Close,Volume,SMAAC_7,SMAAC_12,SMAAC_21,SMAAC_26,SMAAC_50,SMAAC_100,SMAAC_200,EMAAC_7,EMAAC_12,EMAAC_21,EMAAC_26,EMAAC_50,EMAAC_100,EMAAC_200,MACD,TR,SMATR_14,SATR_14,DX,SADX_14,PSAR,CT,CHAC,RS,RSI,SO_5,SO_14,WR_5,WR_14,ROCAC_1,ROCAC_7,ROCAC_12,ROCAC_14,ROCAC_21,ROCAC_26,ROCAC_50,ROCAC_100,ROCAC_200,MOM_1,MOM_7,MOM_12,MOM_14,MOM_21,MOM_26,MOM_50,MOM_100,MOM_200,VARAC_14,STDEVAC_14,LBB_20,UBB_20,VI_14,CV_12,OBV,COBV,ACCDIST,CMF
37979,1501.35498,1514.317017,1498.97998,1513.824951,1513.824951,20400,1475.906581,1471.275503,1452.722668,1438.328233,1398.873167,1412.352573,1468.19053,1483.898096,1471.286004,1452.29839,1443.996779,1424.139264,1427.830311,1468.19053,34.61442689,15.337037,22.579747,23.2050238,30.66401639,28.52165098,1432.802964,0,-13.184936,-0.418756794,-72.04502177,0.994184102,0.994228171,0.005815898,0.005815898,0.008786208,0.029562816,0.053709178,0.041998633,0.072183044,0.130673595,0.108619116,0.025111366,-0.007642223,13.184936,43.467895,77.161987,61.015991,101.915893,174.954956,174.954956,37.083008,-11.658081,461.4999323,21.48254948,1395.99404,1513.532657,0.039704774,0.000924407,-9884000,-0.002059691,1854884898,104927.9054
37980,1514.928955,1525.29895,1504.251953,1512.597046,1512.597046,20600,1482.515154,1477.044759,1457.517334,1445.010043,1401.815007,1412.711124,1468.1261,1491.072833,1477.641549,1457.780086,1449.078281,1427.608197,1429.508861,1468.632386,33.27505282,21.046997,22.93474486,23.18571816,35.31763608,29.00707849,1437.693807,0,1.227905,-0.414346095,-70.7493098,0.867119591,0.868011576,0.132880409,0.132880409,-0.000811127,0.031548006,0.047965021,0.042366646,0.088901987,0.098867035,0.103616574,0.02412241,-0.007680167,-1.227905,46.26001,69.231079,61.479004,123.494019,136.091065,136.091065,35.628052,-11.706909,569.5141999,23.86449664,1405.18847,1516.687629,0.039669725,0.000900349,-9904600,0.002084176,1857866443,103941.4972
37981,1513.113037,1516.483032,1504.133057,1514.775024,1514.775024,15800,1491.198015,1480.824178,1463.501715,1450.328083,1404.698867,1413.089185,1468.078455,1496.998381,1483.354391,1462.961444,1453.944706,1431.026503,1431.1973,1469.091516,34.93228807,12.349975,22.07824721,23.10661309,35.21182771,29.45027486,1444.702219,0,-2.177978,-0.271022797,-37.17850099,0.874287128,0.890643449,0.125712872,0.125712872,0.001439893,0.04180209,0.030864535,0.054370484,0.084131081,0.112529878,0.114216403,0.013657998,-0.001584474,2.177978,60.780029,45.353027,78.11206,117.550048,153.216064,153.216064,20.410034,-2.403931,582.620962,24.13754258,1414.49301,1519.138093,0.037393771,0.000877282,-9888800,-0.001595218,1861758112,103871.8008
37984,1509.281006,1512.974976,1495.535034,1496.427002,1496.427002,14000,1496.787441,1483.024516,1468.225621,1455.515315,1407.437446,1413.109805,1467.974695,1496.855536,1485.365562,1466.003767,1457.091543,1433.591229,1432.488977,1469.363511,34.33242496,19.23999,22.41353079,23.05710721,27.45071578,29.30744921,1451.149957,0,18.348022,-0.471766437,-89.31019721,0.243872348,0.697957387,0.756127652,0.756127652,-0.012112704,0.026848246,0.01796166,0.036762011,0.044478164,0.065825082,0.096845179,0.00141536,-0.001278757,-18.348022,39.125977,26.404053,53.061035,63.723999,92.418945,92.418945,2.11499,-1.916016,511.8776974,22.6247143,1418.623982,1521.379522,0.040401248,0.000833134,-9902800,0.001415743,1864174641,103468.7983
37985,1495.668945,1513.728027,1495.390991,1511.69104,1511.69104,15200,1506.131156,1486.43277,1471.986956,1459.656968,1410.385247,1413.283595,1468.041436,1500.564412,1489.415636,1470.157156,1461.13595,1436.653967,1434.057335,1469.784681,31.19792768,18.337036,21.84138721,22.97027007,27.84138386,29.20273026,1457.081876,0,-15.264038,-0.528552245,-112.1125808,0.545007067,0.857641449,0.454992933,0.454992933,0.010200322,0.045223455,0.0278075,0.028765762,0.0532128,0.073327818,0.08131632,0.017116268,0.012456037,15.264038,65.406006,40.899048,42.269043,76.377075,103.276001,103.276001,25.439087,18.598022,559.7183189,23.65836678,1421.971869,1525.669342,0.038089489,0.000840813,-9887600,-0.001534919,1866695993,104467.0822
37986,1513.615967,1516.522949,1491.248047,1497.043945,1497.043945,14600,1506.714146,1488.656677,1474.926479,1463.065772,1412.365925,1413.391515,1468.06119,1499.684295,1490.589222,1472.601409,1463.795802,1439.022201,1435.304594,1470.055917,27.69086737,25.274902,22.56216879,22.94111998,23.88884315,28.82316689,1462.539242,0,14.647095,-0.696587644,-229.5844683,0.170212755,0.704411509,0.829787245,0.829787245,-0.009689212,0.002733445,0.018149938,0.018381343,0.035997929,0.060297713,0.079609675,0.006504064,0.019146734,-14.647095,4.080932,26.686889,27.020996,52.017944,85.134887,85.134887,9.67395,28.125,553.6384795,23.52952357,1425.399236,1527.443769,0.039739041,0.000821087,-9902200,0.001476597,1868440123,105996.2468
37988,1492.723999,1526.244019,1491.69397,1517.192993,1517.192993,16600,1509.078857,1492.894674,1478.363002,1467.115155,1414.976726,1413.689745,1468.30256,1504.06147,1494.68211,1476.65519,1467.751149,1442.087722,1436.926147,1470.524943,26.30974445,34.550049,24.07895343,23.0223938,29.40419796,28.86466911,1467.560019,0,-20.149048,-0.572092586,-133.6954132,0.741369492,0.906240075,0.258630508,0.258630508,0.013459223,0.011030612,0.034682311,0.03154831,0.04431693,0.092210559,0.097959258,0.031211782,0.0285998,20.149048,16.552978,50.855957,46.401001,64.384033,128.089966,128.089966,45.92102,42.184936,595.1461733,24.39561791,1426.888727,1532.392682,0.041381698,0.000784293,-9885600,-0.001676395,1869914631,107565.6714
37991,1516.796997,1568.814941,1516.697021,1568.353027,1568.353027,28600,1516.868582,1502.42451,1483.865101,1474.009385,1418.707188,1414.660555,1468.769285,1520.134359,1506.016097,1484.991357,1475.20314,1447.039303,1439.528659,1471.498357,29.31317365,52.11792,27.14694657,23.31700471,47.3852875,30.18757043,1473.428419,0,-51.160034,-0.385978788,-62.86082313,0.994044959,0.996679386,0.005955041,0.005955041,0.033720189,0.036020067,0.078650912,0.066647737,0.08078942,0.122477091,0.145232118,0.063713536,0.070804661,51.160034,54.528076,114.358032,97.995971,117.234985,171.128051,171.128051,93.940063,103.703979,965.6733599,31.07528536,1421.81103,1549.193877,0.050830871,0.00080689,-9857000,-0.002893097,1871664516,104691.3281
37992,1568.899048,1589.083008,1557.927002,1574.522949,1574.522949,32600,1525.71514,1512.193003,1489.741525,1480.828538,1422.808386,1415.661655,1469.318655,1533.731507,1516.555613,1493.130592,1482.560163,1452.038662,1442.201813,1472.523477,33.52449352,31.156006,27.27994214,23.60007167,53.46274399,31.85008282,1484.874802,0,-6.169922,-0.34736145,-53.22416977,0.851177341,0.908641648,0.148822659,0.148822659,0.003934014,0.040940119,0.080437687,0.073779704,0.095958474,0.09898768,0.149853399,0.064382537,0.073994374,6.169922,61.925903,117.221924,108.185913,137.859985,141.819946,141.819946,95.23999,108.479004,1277.536688,35.74264523,1421.865925,1562.924981,0.050270281,0.00082105,-9824400,-0.003307294,1874992111,100083.2448
37993,1574.102051,1594.996948,1565.087036,1587.203979,1587.203979,30600,1536.062134,1523.936249,1496.910145,1486.770883,1427.165967,1416.740865,1469.924455,1547.099625,1527.424592,1501.682718,1490.311557,1457.339262,1445.073143,1473.664576,40.51291413,29.909912,27.51979286,23.88005175,55.09271804,33.51027105,1499.463951,0,-12.68103,-0.253513706,-33.96093239,0.92488625,0.95285189,0.07511375,0.07511375,0.008053887,0.047814992,0.097435113,0.091615848,0.099654568,0.105823546,0.165787046,0.082804417,0.080264081,12.68103,72.428955,140.918945,133.208984,143.838012,151.890014,151.890014,121.376953,117.929931,1500.69744,38.73883633,1421.584316,1577.590391,0.048302033,0.000837546,-9793800,-0.003114694,1878270360,95926.58326
