Date,Open,High,Low,Close,Adj Close,Volume,SMAAC_7,SMAAC_12,SMAAC_21,SMAAC_26,SMAAC_50,SMAAC_100,SMAAC_200,EMAAC_7,EMAAC_12,EMAAC_21,EMAAC_26,EMAAC_50,EMAAC_100,EMAAC_200,MACD,TR,SMATR_14,SATR_14,DX,SADX_14,PSAR,CT,CHAC,RS,RSI,SO_5,SO_14,WR_5,WR_14,ROCAC_1,ROCAC_7,ROCAC_12,ROCAC_14,ROCAC_21,ROCAC_26,ROCAC_50,ROCAC_100,ROCAC_200,MOM_1,MOM_7,MOM_12,MOM_14,MOM_21,MOM_26,MOM_50,MOM_100,MOM_200,VARAC_14,STDEVAC_14,LBB_20,UBB_20,VI_14,CV_12,OBV,COBV,ACCDIST,CMF
38328,3205.72998,3206.820068,3170.47998,3172.189941,3172.154541,10400,3205.526925,3232.124613,3237.614688,3219.262414,3294.625889,3267.338108,3483.643772,3205.866284,3218.18664,3230.127345,3235.353616,3254.29201,3319.168622,3483.643772,7.623187651,36.340088,31.33068857,53.32451234,13.41176212,11.69580859,3308.822035,1,30.649658,-1.763527252,230.9710947,0.02877255,0.011235645,0.97122745,0.97122745,-0.009569632,-0.026917602,-0.038823535,-0.019970194,0.011524068,0.0041754,-0.068419464,-0.037671771,-0.203907409,-30.649658,-87.748779,-128.128662,-64.639404,36.139648,13.189941,13.189941,-124.178711,-812.500732,1578.48111,39.73010333,3172.603313,3312.786042,0.024419174,-4.67E-05,-212000,0.051587302,438865818,31158.76895
38329,3184.409912,3200.669922,3171.929932,3177.01001,3176.974365,8200,3198.661272,3221.436381,3239.565139,3219.955097,3290.062739,3266.144519,3479.605367,3198.643305,3211.84629,3225.295256,3231.029227,3251.259945,3316.352894,3480.592335,-5.407787991,28.73999,29.77141471,51.64214823,13.41176212,11.8183767,3300.521511,1,-4.819824,-3.559004857,139.0776906,0.13248434,0.043574767,0.86751566,0.86751566,0.001519417,-0.014902036,-0.038804763,-0.032685235,-0.023798137,-0.005717879,-0.100073673,-0.049314577,-0.199023296,4.819824,-48.059571,-128.258789,-107.348877,-77.449219,-18.27002,-18.27002,-164.798096,-789.401123,1674.15757,40.91647064,3163.395868,3314.248565,0.018338192,-1.36E-05,-203800,-0.038679245,440686926.2,31523.16083
38330,3179.669922,3249.919922,3163.399902,3219.649902,3219.61377,28000,3197.752686,3216.950602,3237.907529,3220.892381,3283.849805,3264.922932,3475.871559,3203.885921,3213.041287,3224.778757,3230.183638,3250.018919,3314.437268,3477.995533,-16.07586782,86.52002,33.70284607,50.3607695,4.996673334,11.33111217,3292.719019,1,-42.639405,-2.175443959,185.0742387,0.649720932,0.36006806,0.350279068,0.350279068,0.013421388,-0.001971531,-0.016444259,-0.024443185,-0.001101417,0.034478815,-0.078575758,-0.064618155,-0.192394154,42.639405,-6.360107,-53.829345,-80.669433,-3.550048,107.308594,107.308594,-222.417724,-767.001464,1331.01565,36.48308718,3163.055272,3314.234157,0.022927526,3.53E-05,-175800,-0.137389598,442798841.5,31417.64547
38331,3211.570068,3226.550049,3191.790039,3195.870117,3195.834473,15700,3195.669922,3212.018168,3236.606131,3224.105046,3277.883076,3262.460962,3471.917655,3201.873059,3210.394085,3222.147458,3227.639255,3247.894039,3312.088697,3475.187961,-27.69311937,34.76001,34.1292725,49.20137686,4.996673334,10.87865226,3282.37349,1,23.779297,-2.717972303,158.2081561,0.374879375,0.227355498,0.625120625,0.625120625,-0.007385761,-0.004541267,-0.018183956,-0.033098628,-0.00978165,0.023569372,-0.078410332,-0.072138586,-0.180239201,-23.779297,-14.579345,-59.189209,-109.398681,-31.569336,73.589356,73.589356,-248.467041,-702.661865,906.7170706,30.11174307,3159.316204,3314.816292,0.023263735,5.88E-05,-191500,0.08930603,445701489,32860.40794
38334,3189.679932,3201.050049,3170.540039,3195.820068,3195.784424,12500,3195.515695,3207.233236,3235.100446,3226.933481,3272.44394,3259.975791,3468.404095,3200.3509,3208.146445,3219.750819,3225.279638,3245.850524,3309.785642,3472.407826,-32.83900423,30.51001,33.27284464,48.06362456,2.890855756,10.30809536,3272.855603,1,0.050049,-2.219534633,181.9984913,0.374300907,0.251373922,0.625699093,0.625699093,-1.57E-05,-0.000337703,-0.017650045,-0.023723855,-0.022041972,0.023582876,-0.09011128,-0.064805856,-0.179856509,-0.050049,-1.07959,-57.419189,-77.658691,-72.029053,73.629395,73.629395,-221.457275,-700.831787,708.0238994,26.60871849,3155.075083,3311.854506,0.022080358,2.14E-05,-204000,0.065274151,448332654.2,33267.40694
38335,3196.149902,3205.300049,3179.040039,3185.98999,3185.954346,9800,3192.731445,3201.070821,3231.202393,3229.387301,3265.917417,3257.662918,3464.850786,3196.751762,3204.732276,3216.678412,3222.366654,3243.501655,3307.333538,3469.557543,-35.27584107,26.26001,32.32069629,46.93912968,1.252582942,9.661273047,3264.099147,1,9.830078,-2.084649332,192.1956959,0.260684683,0.210592188,0.739315317,0.739315317,-0.003075952,-0.006080202,-0.022684407,-0.021219304,-0.026949775,0.015924495,-0.083927497,-0.06701084,-0.168810733,-9.830078,-19.489746,-73.948974,-69.069336,-88.238769,49.939453,49.939453,-228.827392,-647.052734,618.9704505,24.87911676,3150.396799,3307.708914,0.021760298,2.32E-07,-213800,0.048039216,450720419.9,34477.93113
38336,3187.179932,3216.360107,3169.629883,3212.51001,3212.473877,17600,3194.112828,3200.02415,3228.263381,3232.328031,3260.610078,3255.639839,3461.74812,3200.68229,3205.923291,3216.296182,3221.633855,3242.284879,3305.455128,3466.999496,-35.32573446,46.730224,34.08571086,46.02102834,3.072644664,9.190656734,3256.043207,1,-26.519531,-1.451556759,321.4561027,0.567197916,0.45820663,0.432802084,0.432802084,0.008323889,0.003019129,-0.003894551,-0.012519885,-0.007513629,-0.012890057,-0.069891785,-0.037856696,-0.174789884,26.519531,9.669678,-12.560059,-40.729736,-24.320068,-41.949707,-41.949707,-126.398682,-680.442383,471.7821161,21.72054594,3148.945482,3306.728224,0.023736718,-6.96E-06,-196200,-0.082319925,453157874.6,35071.58044
38337,3208.439941,3213.840088,3185.560059,3190.169922,3190.134277,15500,3196.681362,3197.037516,3226.041492,3229.855365,3255.335342,3254.152456,3458.23421,3198.045287,3203.494212,3213.917827,3219.300553,3240.239757,3303.171547,3464.244618,-38.11191813,28.280029,34.5757185,45.2035062,3.072644664,8.753655872,3248.631743,1,22.3396,-1.83556962,219.6788366,0.360230748,0.283352912,0.639769252,0.639769252,-0.006954018,0.005667989,-0.011109699,-0.021402182,-0.028678348,-0.010247553,-0.100957856,-0.043338341,-0.186164487,-22.3396,17.979736,-35.8396,-69.769043,-94.188965,-33.029541,-33.029541,-144.518311,-729.7417,258.2599056,16.07046688,3147.092629,3299.162181,0.024203343,-4.30E-05,-211700,0.079001019,456670374.8,35023.62788
38338,3188.73999,3189.659912,3152.629883,3157.350098,3157.314697,10500,3193.872838,3192.61259,3219.993466,3227.322707,3247.514233,3252.379077,3454.421404,3187.86264,3196.389671,3208.772088,3214.709008,3236.987794,3300.283293,3461.190589,-37.7221499,37.540039,34.4985875,44.43886915,10.17679247,8.855308486,3241.813196,1,32.81958,-1.81102071,223.3014136,0.073510082,0.048153069,0.926489918,0.926489918,-0.010287837,-0.006188173,-0.01653965,-0.020997993,-0.043320072,-0.021716871,-0.105850281,-0.042632533,-0.204236688,-32.81958,-19.659668,-53.099121,-67.719239,-142.968506,-70.089112,-70.089112,-140.598389,-810.340821,330.9253845,18.19135466,3143.504527,3288.453432,0.024049007,-9.20E-05,-222200,0.049598488,458471431.1,35466.44919
38341,3148.340088,3148.340088,3098.389893,3104.699951,3104.665283,10700,3177.451625,3184.929362,3210.678327,3222.601994,3238.985928,3250.446599,3450.106453,3167.0633,3182.278227,3199.307833,3206.557621,3231.798676,3296.409669,3457.643074,-41.80318599,58.960205,37.0714635,43.91262589,26.85498476,10.14099965,3232.894864,1,52.649414,-2.469359271,168.0568748,0.053194699,0.041413508,0.946805301,0.946805301,-0.016675377,-0.03570257,-0.028840367,-0.037603712,-0.060681913,-0.049925798,-0.096338734,-0.052005724,-0.21076114,-52.649414,-114.948487,-92.198731,-121.308594,-200.567871,-163.148194,-163.148194,-170.317871,-829.080811,792.1584256,28.14530912,3130.219761,3281.681411,0.028076302,-0.000140818,-232900,0.048154815,459812267.6,36163.74033
