Date,Open,High,Low,Close,Adj Close,Volume
2015-06-09,7.650000,7.650000,7.650000,7.650000,7.650000,400
2015-06-10,7.430000,7.650000,7.400000,7.400000,7.400000,2800
2015-06-11,7.385000,7.750000,7.385000,7.450000,7.450000,3400
2015-06-12,7.420000,7.435000,7.410000,7.420000,7.420000,23800
2015-06-15,7.555000,7.555000,7.555000,7.555000,7.555000,9800
2015-06-16,7.500000,7.750000,7.500000,7.500000,7.500000,3800
2015-06-17,7.550000,7.600000,7.550000,7.600000,7.600000,1600
2015-06-18,7.975000,7.975000,7.725000,7.725000,7.725000,742200
2015-06-19,8.050000,8.050000,7.800000,7.800000,7.800000,428600
2015-06-22,8.125000,8.125000,7.875000,7.875000,7.875000,108400
2015-06-23,8.225000,8.225000,8.025000,8.025000,8.025000,4600
2015-06-24,7.945000,8.300000,7.935000,8.300000,8.300000,43400
2015-06-25,8.520000,8.520000,7.930000,7.985000,7.985000,8800
2015-06-26,8.175000,8.250000,8.175000,8.200000,8.200000,38000
2015-06-29,7.920000,8.050000,7.920000,7.935000,7.935000,6400
2015-06-30,8.050000,8.210000,8.050000,8.125000,8.125000,15600
2015-07-01,8.240000,8.310000,8.240000,8.310000,8.310000,13000
2015-07-02,8.525000,8.525000,8.375000,8.515000,8.515000,1800
2015-07-06,8.375000,8.420000,8.325000,8.325000,8.325000,3000
2015-07-07,8.260000,8.280000,8.225000,8.255000,8.255000,3600
2015-07-08,7.855000,7.980000,7.800000,7.800000,7.800000,6400
2015-07-09,8.100000,8.115000,8.015000,8.050000,8.050000,4600
2015-07-10,8.055000,8.230000,8.055000,8.220000,8.220000,7600
2015-07-13,8.335000,8.345000,8.180000,8.265000,8.265000,7200
2015-07-14,8.450000,8.500000,8.380000,8.450000,8.450000,12600
2015-07-15,8.380000,8.400000,8.380000,8.400000,8.400000,2200
2015-07-16,8.600000,8.660000,8.560000,8.650000,8.650000,10600
2015-07-17,8.400000,8.525000,8.400000,8.510000,8.510000,19400
2015-07-20,8.525000,8.620000,8.525000,8.580000,8.580000,5200
2015-07-21,8.560000,8.560000,8.535000,8.535000,8.535000,2800
2015-07-22,8.535000,8.535000,8.535000,8.535000,8.535000,0
2015-07-23,8.750000,8.750000,8.565000,8.730000,8.730000,12200
2015-07-24,8.555000,8.670000,8.510000,8.550000,8.550000,12600
2015-07-27,8.255000,8.275000,8.180000,8.180000,8.180000,7200
2015-07-28,8.565000,8.675000,8.565000,8.610000,8.610000,20200
2015-07-29,8.675000,8.715000,8.595000,8.715000,8.715000,6200
2015-07-30,8.692000,8.750000,8.610000,8.750000,8.750000,4000
2015-07-31,8.785000,8.785000,8.730000,8.755000,8.755000,8600
2015-08-03,8.620000,8.620000,8.585000,8.610000,8.610000,4600
2015-08-04,8.710000,8.710000,8.625000,8.680000,8.680000,18600
2015-08-05,8.805000,8.805000,8.765000,8.765000,8.765000,10800
2015-08-06,8.830000,8.830000,8.705000,8.710000,8.710000,7800
2015-08-07,8.590000,8.590000,8.480000,8.590000,8.590000,7000
2015-08-10,8.675000,8.695000,8.595000,8.695000,8.695000,4000
2015-08-11,8.585000,8.585000,8.460000,8.510000,8.510000,11400
2015-08-12,8.455000,8.455000,8.305000,8.440000,8.440000,8000
2015-08-13,8.395000,8.555000,8.395000,8.555000,8.555000,10600
2015-08-14,8.530000,8.530000,8.450000,8.530000,8.530000,2200
2015-08-17,8.560000,8.560000,8.455000,8.460000,8.460000,3600
2015-08-18,8.430000,8.430000,8.360000,8.360000,8.360000,11200
2015-08-19,8.335000,8.335000,8.250000,8.315000,8.315000,9600
2015-08-20,8.160000,8.160000,7.970000,8.035000,8.035000,9600
2015-08-21,7.750000,7.840000,7.500000,7.580000,7.580000,14400
2015-08-24,6.885000,7.165000,6.765000,7.165000,7.165000,18600
2015-08-25,7.255000,7.575000,7.130000,7.260000,7.260000,60600
2015-08-26,7.255000,7.475000,7.240000,7.402500,7.402500,10800
2015-08-27,7.620000,7.900000,7.620000,7.895000,7.895000,11200
2015-08-28,7.940000,7.940000,7.750000,7.910000,7.910000,284600
2015-08-31,7.825000,7.825000,7.655000,7.732500,7.732500,49800
2015-09-01,7.255000,7.255000,7.070000,7.090000,7.090000,25600
2015-09-02,7.300000,7.335000,7.200000,7.335000,7.335000,12800
2015-09-03,7.420000,7.420000,7.310000,7.420000,7.420000,12400
2015-09-04,7.245000,7.245000,7.050000,7.050000,7.050000,8000
